sepal.length,sepal.width,petal.length,petal.width,variety,variety.class
5,3.5,1.3,.3,Setosa,1
4.5,2.3,1.3,.3,Setosa,1
4.4,3.2,1.3,.2,Setosa,1
5,3.5,1.6,.6,Setosa,1
5.1,3.8,1.9,.4,Setosa,1
4.8,3,1.4,.3,Setosa,1
5.1,3.8,1.6,.2,Setosa,1
4.6,3.2,1.4,.2,Setosa,1
5.3,3.7,1.5,.2,Setosa,1
5,3.3,1.4,.2,Setosa,1
5.5,2.6,4.4,1.2,Versicolor,2
6.1,3,4.6,1.4,Versicolor,2
5.8,2.6,4,1.2,Versicolor,2
5,2.3,3.3,1,Versicolor,2
5.6,2.7,4.2,1.3,Versicolor,2
5.7,3,4.2,1.2,Versicolor,2
5.7,2.9,4.2,1.3,Versicolor,2
6.2,2.9,4.3,1.3,Versicolor,2
5.1,2.5,3,1.1,Versicolor,2
5.7,2.8,4.1,1.3,Versicolor,2
6.7,3.1,5.6,2.4,Virginica,3
6.9,3.1,5.1,2.3,Virginica,3
5.8,2.7,5.1,1.9,Virginica,3
6.8,3.2,5.9,2.3,Virginica,3
6.7,3.3,5.7,2.5,Virginica,3
6.7,3,5.2,2.3,Virginica,3
6.3,2.5,5,1.9,Virginica,3
6.5,3,5.2,2,Virginica,3
6.2,3.4,5.4,2.3,Virginica,3
5.9,3,5.1,1.8,Virginica,3
